2016
January,22.5259(10.3209, 7.9934),24.9259(5.2841, 4.30868),223.228
February,20.5773(9.71339, 7.6504),23.9719(6.11648, 4.85741),225.454
March,16.0386(7.43345, 5.96992),19.6212(3.25848, 2.70767),6.257
